,label,affairVoteId,meaningYesText,meaningNoText,numYes,numNo,numAbst,section,art_id,orientation,name,group,vote,Âge,Genre_F,Genre_H,District_Brig,District_Conthey,District_Entremont,District_Goms,District_Hérens,District_Leuk,District_Martigny,District_Monthey,District_Sierre,District_Sion,District_St-Maurice,District_Visp,District_Westlich Raron,District_Östlich Raron
10,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Vincent BOAND,D,non,36,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Jean BONNARD,G,oui,72,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Alex BONVIN,D,non,62,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Nicolas BONVIN,CD,oui,32,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Gaël BOURGEOIS,G,oui,38,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Hermann BRUNNER,CD,oui,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Michael BURGENER,CD,non,40,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Paul BURGENER,CD,abst,68,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Peter BURRI,G,non,56,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Mathieu CALOZ,D,abst,28,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Florine CARRON,G,oui,43,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Florence CARRON DARBELLAY,CD,oui,48,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Jean-Dominique CIPOLLA,D,non,74,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Stéphane CLAVIEN,D,non,64,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Gabrielle CORNUT-ZUFFEREY,G,oui,60,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Adeline CRETTENAND,D,non,27,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Narcisse CRETTENAND,D,non,66,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Blaise CRETTOL,G,oui,49,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Cilette CRETTON,G,oui,76,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Lucile CURDY,G,oui,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Alina DARBELLAY,G,oui,54,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Olivier DERIVAZ,G,oui,57,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Ralph DESSIMOZ,CD,oui,57,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Arnaud DUBOIS,D,oui,36,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Alain DUBOSSON,D,non,22,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Corinne DUC BONVIN,G,oui,54,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Sophie DUCREY,G,oui,26,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Marius DUMOULIN,CD,oui,66,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Jean-Marc DUPONT,G,oui,63,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Christian ESCHER,CD,oui,42,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Florian EVEQUOZ,G,oui,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,German EYER,G,oui,61,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Natascha FARQUET,D,oui,39,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Florent FAVRE,CD,oui,27,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Sandro FONTANA,CD,oui,55,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Jérôme FORMAZ,D,non,45,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Sabine FOURNIER,G,oui,46,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Damien FUMEAUX,D,non,24,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Pascale FUMEAUX,G,oui,39,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Claudia GAILLARD MOREND,G,oui,55,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Marc-Antoine GENOLET,D,non,57,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,François GENOUD,D,non,69,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Géraldine GIANADDA,D,oui,54,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Vincent GÜNTHER,G,oui,52,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Ida HÄFLIGER,CD,oui,64,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Monika HOLZEGGER,G,non,47,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Lukas KALBERMATTEN,CD,non,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Dominik KNUBEL,CD,abst,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Michael KREUZER,CD,non,32,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Madeleine KUONEN-EGGO,G,oui,62,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Alain LÉGER,CD,oui,43,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
61,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Jean-François LOVEY,G,oui,67,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Damien LUISIER,CD,oui,28,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
63,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Vincent LUYET,G,oui,44,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Natacha MARET,CD,oui,38,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Rainer MATHIER,CD,non,64,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Thomas MATTER,CD,oui,55,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
67,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Kamy MAY,CD,oui,27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Nicolas METTAN,CD,oui,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Fabienne MURMANN,CD,non,40,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Jean-Daniel NANCHEN,G,oui,64,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Frédéric PITTELOUD,CD,non,46,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Géraldine POUGET-ZUFFEREY,CD,oui,31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Emilie PRAZ,G,oui,35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
74,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,François QUENNOZ,D,non,28,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
